"Donations"
"58[179,Single, B10K, 13]"
"19[131,Repeated, N, 5]"
"20[165,Repeated, B10K, 15]"
"35[340,Single, B10K, 2]"
"37[263,Single, B10K, 2]"
"7[303,Legacy, C, 2982]"
"60[145,Single, B10K, 5]"
"75[89,Single, N, 1]"
"15[211,Repeated, S, 15]"
"80[209,Single, N, 2]"
"51[301,Single, C, 305]"
"11[121, Repeated, N, 2]"
"67[50,Single, N, 50]"
"69[91,Single, N, 45]"
"17[156,Repeated, N, 2]"
"52[341,Single, B10K, 2]"
"14[302,Repeated, S, 10]"
"31[301,Single, S, 5]"
"43[279,Single, B10K, 13]"
"19[161,Repeated, N, 5]"
"53[172,Single, B10K, 5]"
"24[210,Single, S, 5]"
"15[331,Repeated, S, 15]"
"35[210,Single, B10K, 5]"
"13[240,Repeated, S, 5]"
"83[4,Single, N, 6]"
"15[301,Repeated, S, 15]"
"79[159,Single, N, 70]"
"76[14,Single, N, 2]"
"60[215,Single, B10K, 9]"
"40[259,Single, B10K, 1]"
"14[272,Repeated, S, 10]"
"18[240,Repeated, N, 2]"
"47[300,Single, C, 17]"
"29[210,Single, S, 4]"
"3[53,Legacy, N, 10312]"
"33[213,Single, S, 17]"
"37[252,Single, B10K, 7]"
"61[255,Single, B10K, 2]"
"10[145,Legacy, B10K, 7080]"
"20[145,Repeated, B10K, 15]"
"39[192,Single, B10K, 7]"
"56[145,Single, B10K, 7]"
"37[145,Single, B10K, 2]"
"78[103,Single, N, 2]"
"52[333,Single, B10K, 3]"
"26[210,Single, S, 8]"
"36[145,Single, B10K, 3]"
"56[219,Single, B10K, 2]"
"72[278,Single, N, 6]"
"16[246,Repeated, S, 10]"
"8[300,Legacy, C, 15498]"
"67[303,Legacy, C, 7520]"
"38[168,Single, B10K, 1]"
"64[147,Single, B10K, 6]"
"28[306,Legacy, C, 2500]"
"60[176,Single, B10K, 1]"
"77[191,Single, N, 7]"
"61[302,Single, B10K, 5]"
"20[175,Repeated, B10K, 15]"
"20[225,Repeated, B10K, 15]"
"35[145,Single, B10K, 15]"
"46[145,Single, B10K, 1]"
"6[220,Legacy, S, 4113]"
"65[237,Single, B10K,5]"
"55[145,Single, B10K, 1]"
"19[221,Repeated, N, 5]"
"47[329,Single, C, 2]"
"45[304,Single, B10K, 9]"
"43[272,Single, B10K, 1]"
"14[332,Repeated, S, 10]"
"18[60,Repeated, N, 2]"
"16[306,Repeated, S, 10]"
"36[248,Single, B10K, 8]"
"52[145,Single, B10K, 5]"
"68[26,Single, N, 2]"
"11[211, Repeated, N, 2]"
"17[216,Repeated, N, 2]"
"50[300,Single, C, 1]"
"21[303,Repeated, C, 5]"
"81[282,Single, N, 60]"
"46[211,Single, B10K, 2]"
"13[210,Repeated, S, 5]"
"57[145,Single, B10K, 6]"
"27[210,Single, S, 1]"
"16[276,Repeated, S, 10]"
"80[349,Single, N, 90]"
"56[280,Single, B10K, 2]"
"74[1,Single, N, 90]"
"49[300,Single, C, 4]"
"40[168,Single, B10K, 2]"
"54[146,Single, B10K, 7]"
"11[181, Repeated, N, 2]"
"18[30,Repeated, N, 2]"
"57[274,Single, B10K, 5]"
"20[195,Repeated, B10K, 15]"
"19[191,Repeated, N, 5]"
"70[262,Single, N, 200]"
"18[210,Repeated, N, 2]"
"18[360,Repeated, N, 2]"
"5[212,Legacy, S, 11094]"
"63[299,Single, B10K, 1]"
"27[306,Legacy, C, 14900]"
"20[205,Repeated, B10K, 15]"
"65[279,Single, B10K,2]"
"28[210,Single, S, 2]"
"23[300,Repeated, C, 5]"
"30[211,Single, S, 15]"
"58[168,Single, B10K, 21]"
"18[90,Repeated, N, 2]"
"11[31, Repeated, N, 2]"
"53[162,Single, B10K, 7]"
"20[135,Repeated, B10K, 15]"
"18[270,Repeated, N, 2]"
"1[168,Legacy, N, 23100]"
"9[306,Legacy, C, 17448]"
"25[210,Single, S, 3]"
"18[120,Repeated, N, 2]"
"31[211,Single, S, 1]"
"11[91, Repeated, N, 2]"
"63[145,Single, B10K, 12]"
"70[207,Single, N, 1]"
"77[28,Single, N, 17]"
"71[356,Single, N, 13]"
"51[300,Single, C, 1]"
"13[330,Repeated, S, 5]"
"31[362,Single, S, 7]"
"53[145,Single, B10K, 9]"
"17[186,Repeated, N, 2]"
"12[348,Repeated, N, 2]"
"19[101,Repeated, N, 5]"
"15[361,Repeated, S, 15]"
"72[312,Single, N, 50]"
"61[168,Single, B10K, 2]"
"14[242,Repeated, S, 10]"
"43[145,Single, B10K, 4]"
"66[147,Single, N, 6]"
"2[278,Legacy, N, 18777]"
"33[224,Single, S, 6]"
"58[145,Single, B10K, 3]"
"22[309,Repeated, C, 5]"
"29[309,Single, S, 1]"
"65[147,Single, B10K, 3]"
"13[270,Repeated, S, 5]"
"18[150,Repeated, N, 2]"
"72[359,Single, N, 5]"
"14[212,Repeated, S, 10]"
"48[301,Single, C, 7]"
"82[346,Single, N, 20]"
"16[216,Repeated, S, 10]"
"32[210,Single, S, 6]"
"41[314,Single, B10K, 3]"
"62[145,Single, B10K, 2]"
"20[255,Repeated, B10K, 15]"
"4[143,Legacy, N, 10529]"
"42[341,Single, B10K, 2]"
"11[151, Repeated, N, 2]"
"15[271,Repeated, S, 15]"
"45[145,Single, B10K, 3]"
"73[290,Single, N, 30]"
"59[146,Single, B10K, 10]"
"14[362,Repeated, S, 10]"
"82[306,Single, N, 4]"
"41[145,Single, B10K, 6]"
"13[300,Repeated, S, 5]"
"11[61, Repeated, N, 2]"
"13[360,Repeated, S, 5]"
"18[180,Repeated, N, 2]"
"54[334,Single, B10K, 8]"
"42[168,Single, B10K, 5]"
"44[145,Single, B10K, 6]"
"18[300,Repeated, N, 2]"
"18[330,Repeated, N, 2]"
"15[241,Repeated, S, 15]"
"79[304,Single, N, 55]"
"39[145,Single, B10K, 9]"
"66[159,Single, N, 3]"
"34[145,Single, B10K, 3]"
"39[342,Single, B10K, 4]"
